imie;nazwisko;miasto;ulica;nr;mieszkanie;data_ur;pesel
Zofia;MALINNIKOVA;Milanówek;ulica Uroczysko;13;35;12.01.1946;46011254537
Oliwia;RUDAS;Stare Wyszomierki;ulica Krzywińska;29;100;10.10.1984;84101087429
Adrian;ALISTARI;Dębogard;ulica Wiosenna;65;34;13.07.1910;10071323261
Sebastian;ELSAKKA;Potoki;ulica Ścieżka;16;41;10.05.1998;98051035727
Tymon;BIHANSKYI;Czerteż;ulica Władysława Niegolewskiego;29;83;21.04.1969;69042189667
Zuzanna;DERYŃSKA;Osieki Lęborskie;Skwer Józefa Rotblata;29;10;08.12.1933;33120887460
Gabriel;JASKULLA;Leszczynko;ulica Budzikowa;11;19;17.03.1966;66031753017
Tymon;HENA;Majdan;Rondo Bratanków;63;44;14.05.1906;06051495834
Lena;REWIAKO;Żochowo;ulica Kanonierska;2;44;06.04.1964;64040686437
Dawid;CYBULKIEWICZ;Zagumnie;ulica Kamasznicza;35;22;11.08.1982;82081187952
Antonina;NADRZEWIA;Patoka;ulica Bogumiła Zuga;52;13;24.12.1952;52122438230
Jagoda;ERSHENKO;Pobaska;ulica Piotra Ściegiennego;78;41;05.12.1918;18120593523
Marta;MACISOWICZ;Szczawno;ulica Jaworowa;84;6;07.04.1979;79040745211
Milena;BADIUK;Jasnosz;ulica Pani na Wiśniewie;6;47;20.08.1922;22082054347
Maja;KRISTOFFERSEN;Lipnik;ulica Latyczowska;32;52;02.09.1922;22090249594
Liliana;BONTAL;Juraszka;ulica Adolfa Suligowskiego;52;51;28.01.1965;65012882938
Tomasz;BUCURIE;Halinów;ulica Bronisława Wesołowskiego;67;93;24.03.1937;37032487309
Zuzanna;EKERLING;Hrudek;ulica Ku Wiśle;51;70;19.05.1915;15051961918
Patryk;JASTRUBCZAK;Biskupice Radłowskie;Skwer Duśki Trafankowskiej;47;19;20.05.1967;67052033989
Stanisław;HALISZCZAK;Kupki;ulica Niezapominajki;52;26;25.12.1981;81122520459
Agata;SŁAWOŃ;Pieńki;ulica Stefana Łyszkiewicza „Pechowca”;48;11;22.09.1931;31092237805
Antonina;DORNIG;Golakówka;ulica Grudowska;86;53;09.10.1949;49100978656
Dominika;GOŹDŹ;Lody;ulica gen. Leopolda Okulickiego;8;68;22.05.1961;61052254493
Patryk;PIERZYCKI;Sobieszewko;ulica Łuczywo;6;73;30.01.1966;66013053701
Amelia;HÉNONIN;Sosnowy;ulica Pastelowa;91;30;20.05.1931;31052012441
Marcin;DRUKIER;Góra;ulica Wiejska;67;9;27.03.1920;20032735483
Blanka;MINASIAN;Wiśniówka;ulica Władysława Hermana;43;47;05.10.1925;25100513215
Kaja;WIERZBICKI;Książkowice;ulica Orlego Lotu;68;20;09.01.1997;97010945773
Barbara;DIEVAL;Bobolice;ulica Połczyńska;14;77;14.08.1957;57081489931
Amelia;ODACHOWSKI;Nowa Zienkowizna;ulica Żurawiny;8;5;23.09.1967;67092374154
Jakub;MAZINOWIĆ;Olchawówka;Rondo Hutników Warszawskich;52;28;04.05.1961;61050456287
Maria;KSIONSZCZAK;Kretki;ulica Aleksandra Bardiniego;89;37;05.03.1930;30030575207
Aleksandra;CALABRESE;Zbigniewice;ulica Ułańska;68;3;17.05.1931;31051744951
Karol;KOZHUSHNYI;Chałupki Bełwińskie;ulica Zakole;84;48;28.03.1969;69032819129
Ewa;AMELCHANKA;Knupiarze;ulica Relaksowa;61;41;05.08.1949;49080519207
Tymon;BAUERBERG;Góra;ulica Babiego Lata;72;46;23.09.1924;24092318547
Stanisław;MAŁACHOW;Środek;ulica Katarynki;72;18;30.11.1983;83113020186
Karol;BORODIJUK;Brzozowy Most;ulica Dorodna;2;21;10.02.1917;17021095700
Anna;WILMANSKA;Sadykierz;ulica Trojaka;34;47;12.04.1913;13041271375
Dawid;MASZEROWSKI;Skalskie;ulica Czyżyka;6;44;09.04.1909;09040917106
Kamil;TYLLA;Świerzawa;ulica Skalbmierska;26;38;19.01.1950;50011959838
Zofia;DEPA;Dolne Kąty;ulica Koźla;4;62;24.12.1954;54122455177
Miłosz;POŚLADEK;Praca;Skwer „Starszych Panów”;91;1;10.07.1946;46071068836
Bartosz;LENGYEL;Poświętne;ulica Deotymy;38;69;27.03.1936;36032718995
Łukasz;TRZĘSIOCH;Dyrdy;ulica Śliska;72;44;26.09.1922;22092670641
Helena;ÖZKAYA;Banachy;ulica Geologiczna;36;26;11.10.1962;62101149944
Anna;PÎNZARI;Zapust;ulica Kaniowska;56;4;15.06.1913;13061562901
Jan;ĆWIEJKOWSKI;Żerechów;ulica Siłaczki;11;1;11.12.1943;43121153922
Piotr;KOCEJKO;Moczary;ulica Bieniewicka;41;70;17.11.1920;20111732306
Jagoda;CIUŃSKA;Doły;ulica Zygmunta Pawlaczyka;91;45;15.03.1969;69031584789
Michalina;STRZYMIŃSKA;Zalesie;ulica Łotewska;11;27;28.06.1973;73062840855
Antoni;MALIAVKO;Słoptów;ulica Współczesna;62;22;13.10.1910;10101347492
Paweł;VOLKOHON;Niegławki;ulica Ułańska;100;64;25.11.1951;51112561043
Dominika;PANNOMAREW;Dół;ulica Nadarzyńska;26;68;07.06.1979;79060766079
Martyna;KALININA;Dobroszyn;ulica Inowrocławska;41;13;07.11.1931;31110740432
Laura;VIFLINZIDER;Roszki-Bór;ulica Agrestowa;45;12;24.09.1952;52092445233
Oliwia;CHARĘZA;Pucołowo;ulica Zdrojowa;99;96;30.11.1959;59113053518
Hubert;FLÓR;Białe-Szczepanowice;ulica Majdańska;52;60;22.06.1915;15062235902
Franciszek;FIRUTA;Gronik;ulica gen. Klemensa Stanisława Rudnickiego;63;84;10.04.1947;47041041845
Aleksandra;KALUSKI;Stryjno;ulica Tumska;7;94;25.03.1936;36032591909
Aleksandra;ZABLOTNY;Wygoda;ulica Radna;58;29;15.04.1920;20041596589
Agata;MANSFELSKA;Zaprzyrwie;ulica Łaziebna;78;6;16.12.1949;49121610483
Bartosz;ELON;Borowa;ulica Studzienna;87;52;25.05.1993;93052598942
Magdalena;POLESIAK-KLEPACZ;Lipka;ulica Czesława Ludwika Rybińskiego;27;15;09.06.1995;95060989002
Gabriela;WENINGER;Patków;ulica Poetów;84;15;15.06.1934;34061597487
Iga;KRUPA-NASTALSKA;Zarzecze Pierwsze;ulica Sportowa;35;43;23.04.1963;63042399596
Szymon;DROUGARD;Dobrut;ulica Jeziorki;82;15;17.09.1978;78091725297
Antonina;MYTSAK;Pełty;ulica Białego Dębu;53;87;19.02.1954;54021950285
Marcel;OŻÓG-SAWONI;Dobrociny;ulica II Rejonu AK;37;57;22.01.1938;38012212600
Adam;GORGOLIŃSKI;Iwonicz-Zdrój;ulica Szwedzka;85;68;26.03.1954;54032638676
Krzysztof;ALTMEJD;Borowa;ulica Bielska;1;2;02.10.1930;30100238701
Filip;MOTUZNY;Szkolna;ulica Proletariatczyków;89;24;18.07.1990;90071861486
Blanka;DAUDESZ;Sucha;ulica Śmieszna;46;7;06.08.1995;95080629507
Zuzanna;SVIDERSKA;Piaszczyce;ulica Falkowska;63;73;14.12.1988;88121476482
Iga;JENDE;Marunowo Górne;ulica Mariana Sengera „Cichego”;44;86;23.12.1939;39122362873
Hubert;HRYPICH;Krężel;ulica Barkocińska;14;22;08.12.1920;20120843492
Nikodem;MOUSSETTE;Walaśne;Rondo Kercelak;76;94;15.11.1963;63111575017
Marcelina;GÖBL;Strużnica;ulica Karola Szajnochy;1;54;26.02.1928;28022686796
Tymon;DANCHEVSKYI;Ziębowski;ulica Bukowińska;68;71;19.06.1990;90061988288
Antoni;VOITIV;Golce;ulica Statyczna;89;87;25.05.1954;54052594769
Patrycja;CHERVONETSKA;Uroża;ulica Rakietników;93;7;09.11.1956;56110963377
Klaudia;SABOROWSKI;Piaszno Małe;ulica Józsefa Antalla;65;23;06.02.1950;50020695156
Helena;ZABKIEWICZ;Święte;Park Józefa Sowińskiego;56;83;24.10.1954;54102411064
Leon;MITJANS SZAŁAPSKI;Sarnowo;ulica Lemiesz;30;90;10.10.1962;62101081263
Kacper;NEPAL;Krzyków;ulica Wilczycka;14;29;12.07.1986;86071211581
Tymoteusz;KOSTIUCHYK;Dłoń;ulica Lniana;68;53;29.03.1949;49032993100
Adrian;KAZAŃCOW;Jankowice;ulica Andromedy;5;6;16.08.1917;17081651513
Maksymilian;ROTSTAIN GOTLIB;Boża Wola;ulica Przystaniowa;86;90;18.03.1942;42031894408
Kornelia;PODCZASZYŃSKA;Sporniak;ulica Małego Franka;56;73;23.06.1914;14062338006
Marcel;RINKAVIČIUS;Rudawica;ulica Głogowska;71;63;25.10.1987;87102520463
Hanna;SZILISTOWSKA;Gole;Międzymurze Jana Zachwatowicza;15;2;01.01.1915;15010135342
Franciszek;ROHOZHA;Trzeszczyn;ulica Jerzyka;4;26;27.05.1931;31052797223
Anna;SKARŻEWSKA;Kaczmarka;ulica gen. Michała Tokarzewskiego-Karaszewicza;65;17;29.07.1997;97072984911
Wiktor;CUŞNIR;Binówko;ulica Kazimierza Króla;40;78;11.11.1971;71111180046
Alan;KARNAUKH;Dargolewo;ulica Paavo Nurmiego;64;33;01.10.1937;37100156683
Marcin;CYBINSKI;Gać;ulica Bohaterów Getta;2;28;20.03.1989;89032037400
Marcel;NIEDAJCHLEB;Zalesie;ulica Łabędzia;54;23;21.10.1987;87102168960
Nadia;ZALIUTYNSKA;Krakowskie Osady;ulica Kalatówki;58;95;05.07.1908;08070567040
Amelia;URSEM;Bórk;ulica Borsucza;75;5;22.08.1906;06082285392
Joanna;DOWNER;Wygoda;ulica Rowowa;72;66;16.08.1980;80081627052
Dawid;PAPIŃCZAK;Boreczek;ulica Stargardzka;94;34;24.06.1906;06062465075
Marcelina;BŰRGIN;Szklana Huta;ulica Franciszka Starowieyskiego;18;31;19.03.1998;98031923148
Hanna;KLUŃ;Policzko;Aleja Wincentego Witosa;71;67;17.03.1978;78031772735
Jan;KYSELEICHUK;Klementynowo;ulica Witolińska;55;95;24.09.1912;12092497176
Wiktoria;LIUTYK;Brzozowo-Utraty;ulica Cieszyńska;38;9;02.10.1972;72100229452
Magdalena;KORINOVSKA;Strupiny;ulica gen. Mikołaja Bołtucia;37;44;10.06.1987;87061096179
Julia;PANFICZ;Dąbrówka;ulica Elektryczna;20;17;10.02.1988;88021059097
Karol;PODPORA;Sierosław;ulica Przyrynek;78;71;04.12.1992;92120453062
Adrian;MUZHDABAIEV;Długoszyn;ulica Julianowska;31;28;22.01.1965;65012230552
Błażej;MOTASHKO;Bagna;ulica Dowcip;97;67;17.03.1957;57031793548
Patryk;GRADOŃ;Kawec;ulica Antoniego Ponikowskiego;65;100;20.04.1919;19042048528
Liliana;NOSEL;Perze;ulica Jakuba Kubickiego;7;26;21.10.1921;21102139500
Wiktoria;PLAKUTA;Zagrody;ulica Koniecpolska;71;90;04.10.1997;97100450026
Bartosz;LEYDO;Krubin;ulica Szafranów;68;72;06.02.1955;55020642316
Lena;MERLIN;Bacowie;ulica Miła;65;74;28.05.1907;07052860590
Dawid;RYCZAŁOWSKI;Zdziar Mały;ulica Indycza;84;95;13.07.1989;89071391621
Piotr;BIRÓWKA;Nowa Huta;Park Stawy Kellera;21;61;07.05.1961;61050714731
Agata;PARLAR;Kaleń Drugi;ulica Rabarbarowa;88;63;06.09.1984;84090692614
Błażej;MOSCHOPOULOS;Zastocze;ulica Płomyka;48;64;18.02.1910;10021823015
Amelia;LOSSAU;Krakówki-Włodki;ulica Marii Konopnickiej;70;98;20.09.1907;07092014860
Marta;TRZESZCZYŃSKA;Belęcin;ulica Antoniego Magiera;53;44;09.02.1973;73020972503
Gabriel;SYNDYK;Stachowo;Skwer Psa Fafika;22;71;19.05.1968;68051941801
Marcelina;MICHALOVSKA;Przeczki;Aleja 4 Czerwca 1989 r.;100;22;11.02.1952;52021155342
Magdalena;PLAZIŃSKA;Zdziar Wielki;ulica Księżnej Anny;57;20;21.02.1952;52022194973
Filip;CHEBATAR;Grybów;ulica Loteryjki;96;94;27.08.1984;84082725536
Nina;DYBUŁA;Główczewice;ulica Magiczna;60;21;16.07.1907;07071686473
Mikołaj;VERBAL;Szklarska Poręba Górna;ulica Nasturcjowa;63;48;07.04.1926;26040796905
Bartłomiej;JERAMCZYKOWSKI;Bociany;ulica Trojańska;81;75;04.03.1922;22030464812
Oliwier;NIEWĘGRZYNEK;Grzymały;ulica Zaciszańska;62;89;26.03.1953;53032679400
Bartosz;RACHCIŃSKI;Hubki Mięcierskie;ulica Topazowa;76;19;10.04.1908;08041030079
Kinga;BIENIECKA;Lubawka;Rondo ks. Zdzisława Peszkowskiego;60;62;18.02.1989;89021859712
Gabriela;WOJUTYCKA;Podliski;ulica Teodora Axentowicza;75;52;16.05.1915;15051633879
Marta;JUNOT-KIERSZNIEWSKA;Zbrosza Mała;ulica Milanowska;30;63;20.06.1938;38062042666
Mikołaj;ADAMUSZEK;Kielanówka;ulica Zarębska;76;56;13.01.1943;43011333292
Katarzyna;WRÓBEL-SZAŁA;Pruska Mała;ulica Zakamarek;58;98;22.09.1975;75092282186
Pola;ŻEROMSKA-STOCHMAL;Jagatowo;ulica gen. Leopolda Okulickiego;39;2;16.01.1955;55011657000
Barbara;WALICKA-SINGH;Łysa Góra;ulica Franciszka Kostrzewskiego;52;75;30.07.1955;55073050079
Weronika;DIANOW;Jeszkowice;ulica Kadetów;74;7;06.02.1942;42020665152
Tomasz;WATZA;Równie;ulica Polska;21;41;13.08.1956;56081328872
Paulina;UTRAT-MILECKA;Kozia Góra;ulica Metrykantów;84;2;03.03.1932;32030336561
Klaudia;GOZDAWA-DRWĘSKA;Pasieki;ulica Ostrowiecka;66;36;07.10.1906;06100748760
Marta;SZTEKMAN;Lutnia;ulica Zadrzewiona;57;18;26.09.1946;46092649977
Krystian;PARGIEŁA;Kaliszany;ulica Piwna;30;4;17.07.1913;13071725974
Bartłomiej;WACHACKI;Krukowo;ulica Węgorzewska;69;72;13.03.1958;58031391429
Michalina;GROENENBOOM;Bardo Poduchowne;ulica Kominiarska;27;49;12.10.1954;54101216321
Zofia;KIVIATKOWSKA;Jaracz-Młyn;ulica Stanisława Moniuszki;60;85;18.07.1952;52071893861
Michalina;JARZĘBCZYK;Znoski;ulica Izbicka;27;41;02.07.1980;80070278539
Krystian;ZIL;Dąbki;ulica Marii Ludwiki Gonzagi;25;77;02.11.1927;27110277580
Filip;HORHUL;Grafka;ulica Liptowska;80;100;16.11.1997;97111654710
Miłosz;WIEDRYCKI;Ulów;ulica Tadeusza Rejtana;26;22;18.08.1967;67081892836
Blanka;KLAJZA;Kawka;ulica Heleny Modrzejewskiej;7;32;17.12.1918;18121756011
Zofia;ZIEMNA;Smardzów;ulica Stefana Kazimierza Hankiewicza;75;53;28.01.1916;16012837834
Laura;GOSZCZYŃSKA ONIŚKO;Witulin;ulica Hieroglif;35;52;13.06.1928;28061388494
Małgorzata;SZEWIEL;Brzozowo;ulica Melonowa;1;35;06.08.1968;68080655819
Karol;OANCEA;Stara Wieś;ulica Na Wyraju;36;74;29.12.1910;10122979365
Amelia;MORCIANO;Skorocice;ulica Łęgi;57;42;23.01.1930;30012390053
Oliwier;MATVIYETS;Stoczek;ulica Biskupia;84;9;15.06.1941;41061571275
Jakub;OLENCKI;Bachorze;ulica Orłów Piastowskich;67;96;20.04.1950;50042010645
Helena;PILKE;Wielka Tonia;ulica Aktorska;58;45;05.07.1993;93070596669
Gabriel;DONDALSKI;Zadworze;ulica Długa;77;86;15.01.1922;22011590751
Tomasz;YOON;Sierakowizna;ulica Kiełpińska;4;62;12.04.1931;31041269367
Błażej;ZAMROCZYNSKI;Glinka;ulica Koronacyjna;74;29;06.09.1925;25090670861
Iga;BRUKAŁO;Podrabalina;Rynek Solecki;23;26;30.06.1911;11063074439
Blanka;KNYHYNYTSKA;Wieprzki;ulica Piotra Michałowskiego;73;26;15.05.1923;23051541470
Mikołaj;AVERESCH;Mokry Las;ulica Jana Kilińskiego;19;88;08.01.1972;72010823188
Igor;OBETKON;Osówie;ulica Rapperswilska;34;78;30.01.1930;30013031286
Nikola;STRUSZCZAK;Wielkanoc;ulica Pabla Nerudy;55;34;30.02.1962;62023038136
Filip;CHABERKUS;Nad Jeziorem;ulica Daniszewska;11;32;12.02.1969;69021215390
Tymoteusz;LEJCZYK;Dębiec;ulica Maltańska;46;88;12.12.1952;52121257703
Amelia;KLEMBERG;Wola Bałucka;Bulwar Zbigniewa Religi;97;83;23.09.1936;36092317550
Aleksandra;SKOŁOŻYŃSKA;Jastrzębia Dolna;ulica Kryształowa;1;68;09.05.1937;37050986155
Tymon;MARGOWNICZY;Obózek;ulica Wróbla;87;92;28.03.1920;20032875340
Zuzanna;HARNOTH;Wyryki-Adampol;ulica Rzepichy;79;27;07.08.1996;96080794559
Adrian;BŁAŻEJ;Krasów;ulica Trzcinowa;39;83;30.04.1909;09043053974
Alicja;IAVOROVYCH;Gliniki;ulica Czerwonych Beretów;64;3;25.06.1992;92062547900
Michalina;MYSLIWCZYK;Pode Dworem;ulica Referendarska;37;59;03.07.1990;90070381497
Marta;PROSOWSKI;Cichy;ulica Olesin;23;9;04.12.1925;25120441983
Julia;SOPOTNYTSKA;Wolska Niwa;ulica Trombity;27;53;05.01.1921;21010573184
Wiktor;KIRLEJZA;Radwanowice;ulica Flory;10;99;07.01.1934;34010751225
Oskar;BARABAKH;Mała Olszewnica;ulica Karminowa;63;38;02.02.1969;69020222701
Dominik;MROZIEWICZ-KOCELA;Łączki;ulica Koronacyjna;98;51;26.11.1917;17112624033
Łucja;PERCH;Lipie;ulica Sezam;38;49;27.04.1974;74042762741
Nikodem;BŰTTNER;Cymbałowo;ulica Za Dębami;32;67;01.02.1966;66020167497
Adrian;MOTAK;Kąty;ulica Walewska;72;78;08.11.1971;71110867865
Kornelia;HAGEMEIER;Meksyk;ulica Drobiazg;23;69;05.12.1924;24120590762
Helena;TRAPIŁO;Zarzecze;ulica Eugeniusza Horbaczewskiego;70;81;05.01.1914;14010566021
Krzysztof;SIEDZIOCH;Boguszyce;Plac Czerwca 1976 Roku;93;84;30.04.1916;16043037343
Dominik;FARIASZEWSKI;Nadziejów;ulica Głęboka;20;96;22.03.1948;48032258891
Antonina;SZCZELIŃSKA;Drożyska Wielkie;ulica Progi;97;73;13.10.1944;44101320060
Milena;ROBOTOWSKA;Sieciechowice;ulica Złotych Piasków;72;76;22.05.1997;97052210555
Bartłomiej;HACHYNSKYY;Kołuda Mała;ulica Browarna;12;4;29.03.1958;58032946962
Krzysztof;PARFIENCZYK;Małutówka Górna;ulica Majdańska;10;90;28.04.2000;00042876118
Barbara;GECSEI;Pruszki;ulica Henryka Raabego;35;6;28.10.1998;98102879301
Dawid;BYSTRIANIN;Dolne Rybno;ulica Cienka;81;38;20.03.1975;75032048011
Wiktor;NORKIN;Na Mecu;ulica Kawki;48;91;04.01.1936;36010410309
Izabela;WIENAND;Godałówka;ulica Mechaników;35;46;22.11.1976;76112228648
Marcin;DERMANOVSKYI;Siwkowo;ulica Kajakowa;93;50;14.11.1970;70111453265
Katarzyna;KOWALSKA-KOTWICA;Szczyglice;Park Wielkopolski;54;52;05.12.1928;28120524751
Milena;BIAŁODZIAD;Pietrowice Wielkie;ulica Bartosza Głowackiego;84;55;07.05.1935;35050741737
Maksymilian;WILIMBERG;Holina;ulica Finałowa;17;50;19.03.1924;24031985069
Piotr;GURAN;Molza;ulica Zakrzewska;25;82;19.04.1950;50041989165
Stanisław;MYKIETNIK;Szerszenie;ulica Głębocka;43;42;17.02.1923;23021731242
Katarzyna;IBIS;Zamość;ulica Budy;31;77;17.08.1982;82081771782
Antonina;ZAREBINSKI;Bliżyce;ulica Aleksandra Zelwerowicza;52;5;26.03.1916;16032667436
Anna;DOKHVAT;Niedźwiadka;ulica Ludwika Mierosławskiego;10;19;25.09.2000;00092553386
Paweł;CZOŁGOWSKI;Polanka;ulica Gdyńska;45;84;27.07.1949;49072737642
Klaudia;CYTLAN;Pomiarki;ulica Andrzeja Struga;18;6;11.01.1935;35011195810
Karol;KUBERA;Rucin;ulica Śmieszna;93;33;23.10.1996;96102378695
Szymon;JENDRA;Miszkieniki Wielkie;ulica Mariana Zdziechowskiego;79;21;02.01.1998;98010267047
Alan;VANEK;Nowa Wieś;ulica Sępia;47;51;15.05.1971;71051581609
Łukasz;LASTOWIECKI;Konarzynki;Aleja Emila Wedla;75;64;04.02.1914;14020454017
Klaudia;SAMCHYSHYNA;Stary Zdziechów;ulica Bohaterów Warszawy;93;41;04.02.1994;94020421352
Hanna;SHUB;Żółkiew;ulica Wincentego Rzymowskiego;62;72;01.08.1958;58080116636
Weronika;KOŁPACKA;Błażowa Dolna;ulica ks. Piotra Skargi;46;11;03.09.1928;28090368655
Blanka;WISEMAN;Wólka Łabuńska;ulica Kożuchowska;93;10;26.03.1931;31032647999
Michalina;KHAMIDULLINA;Pustków;ulica Wróbla;24;37;12.05.1995;95051234168
Franciszek;KALINAUSKAS;Żerczyce;ulica Słonecznej Polany;77;45;09.01.1990;90010963933
Hanna;MYGELSKA;Piaski;ulica Młoda;34;35;11.07.1990;90071144187
Oliwia;ROZPENDKOWSKA;Wysokoniwka;ulica Ekologiczna;79;51;04.07.1915;15070484689
Agata;SMERTIUK;Hajdamaki;ulica Suchocińska;2;18;09.09.1927;27090947196
Julian;OZIRNYI;Chodzież;ulica Adama Asnyka;5;72;03.02.1930;30020389463
Paulina;SHKLIAROVA;Dzierzążenko;ulica Gajowa;71;41;27.12.1906;06122715696
Paulina;ZASTAVNA;Zabaranie;ulica Boglarczyków;57;5;23.12.1949;49122380270
Krystian;LARY;Tarnopol;ulica Orzycka;76;99;10.01.2000;00011079571
Tomasz;HERDY;Ożanna Wielka;ulica Wojciecha Bogusławskiego;81;92;08.02.1959;59020866069
Maksymilian;BANCIAROWSKI;Nowa Wieś;ulica Osadnicza;8;36;23.11.1987;87112341459
Katarzyna;ŚRAMKIEWICZ;Przedmieście;ulica Bronisława Dobrzańskiego;12;62;12.03.1906;06031290706
Michał;DE FREITAS RODRIGUES;Iskra;ulica Gozdawitów;86;50;14.08.1929;29081427143
Dawid;SAWUKANIS;Kamionka;ulica Brzozowa;33;37;13.10.1918;18101359267
Patrycja;KAĆKIEWICZ;Posadów;ulica Stanisława Moniuszki;62;35;08.12.1909;09120827944
Kamil;DIDOK;Mosiębrza;ulica Cudne Manowce;51;58;22.07.1965;65072240906
Hubert;VOROBKALO;Długa Szlachecka;ulica Zamiejska;18;32;01.09.1928;28090121162
Dominik;OLCHOWIECKI;Wola Kiełpińska;ulica Ciepielowska;8;44;05.10.1984;84100545837
Nina;MELNICZUK-GŻEGOLEC;Wieska-Wieś;ulica Trombity;22;49;23.06.1935;35062355090
Ignacy;ŻWIROWICZ;Wąwelnica;ulica Mieczysława Wolfkego;94;100;17.09.1941;41091731993
Krystian;WANCZURA;Mała Rudzica;ulica Żarnowiecka;53;33;07.10.1924;24100743961
Zofia;KRUSIK;Dąbrowa Chotomowska;ulica Miła;12;90;24.11.1969;69112466011
Antonina;CAPAŁA;Józefów;ulica Osada Ojców;33;32;08.03.1984;84030835021
Wiktor;NALEWAJA;Nowy Grabów;ulica Zarzecze;98;99;12.06.1955;55061277235
Julian;GŁONIK;Wąsosze;ulica Budki Szczęśliwickie;16;58;25.01.1965;65012561627
Alicja;LEWANDOWSKI VILLA;Buszów;ulica Cicha Dolina;11;93;15.03.1984;84031589484
Adrian;SIRBU;Dąbie;ulica Pospolita;16;69;19.03.1994;94031992188
Karol;MYKHAVCHAK;Zabiel;ulica Hafciarska;38;91;19.02.1984;84021952243
Nikodem;BAUMGART;Miasto;ulica Śniardwy;22;99;24.12.1946;46122432927
Kinga;KOCBACH;Kolonia Pliszczyn;ulica Tango;62;34;14.11.1991;91111411405
Antoni;KHUSNUTDINOV;Niewistka;ulica Zdobnicza;11;14;17.08.1978;78081781882
Patrycja;ROZALEWICZ;Kozłówka;ulica Działdowska;61;95;23.09.1973;73092394181
Antonina;VAPNYK;Hornowo;ulica Karuzela;19;72;25.10.1982;82102512908
Wiktor;KASZEWICZ;Markocin;ulica Zbigniewa Pieniążka;21;48;16.05.1992;92051630097
Antonina;KRÓL-OLSZEWSKA;Ciszyca Dolna;ulica Lubuska;77;52;29.11.1969;69112967789
Krzysztof;VOLKOVINSKYI;Kurzątkowice;ulica Działkowa;58;39;20.09.1950;50092033840
Nikodem;VOYTSIKHOVSKYY;Duchowo;Pasaż Witolda Rowickiego;89;15;28.08.1911;11082816408
Wojciech;KRZĘCIESA;Magnusy;ulica Mariana Nowickiego;9;72;20.02.1964;64022039990
Wojciech;AL-SAAD;Dzbonie;ulica Rębkowska;47;57;24.10.1912;12102442021
Igor;NABELSKI;Kamionna;ulica św. Bonifacego;61;84;18.04.1911;11041861799
Lena;KLOMPE;Lubstowo;ulica Wyszogrodzka;11;66;30.08.1926;26083049503
Aleksandra;OLSZCZYŃSKA;Unin;ulica Turkusowa;62;4;15.04.1981;81041535077
Alan;SZCZEREK;Nowe;ulica Henryka Siemiradzkiego;87;75;30.07.1928;28073087171
Oskar;VELEMETS;Klin;ulica Jana Cybisa;58;98;24.09.1988;88092437732
Szymon;HANZIG;Szczepanów;ulica Modra;33;77;19.02.1937;37021974600
Laura;SOMMERREY;Pracze;ulica Leona Berensona;29;65;02.01.1968;68010218120
Nadia;KLINKE;Domiechowice;ulica Złocienia;26;41;18.12.1977;77121830617
Agata;BORNICKA;Nowa Wieś;ulica 20 Dywizji Piechoty WP;55;46;18.04.1958;58041878852
Paweł;SZMIGIELSKI-ŚMIECHOWSKI;Dzierżysław;ulica Samby;8;22;30.11.1954;54113057163
Laura;MATOLICZ;Koźlacy;ulica Juliusza Kossaka;12;26;25.02.1930;30022518177
Michalina;GARKOWIENKO;Zagrody;ulica Żeglarska;87;12;17.03.1979;79031778457
Antoni;KHADAEV;Czaplin Mały;ulica Mlądzka;98;46;15.03.1936;36031580893
Klaudia;KRYSZYŃSKA;Adamowo;ulica Żbikowianka;97;65;07.06.1925;25060741209
Karol;PANDE;Czeszków;ulica gen. Tadeusza Pełczyńskiego;51;56;01.06.1933;33060182136
Kornelia;PERZYK;Tłustoręby;ulica Obwodowa;16;61;07.09.1972;72090737914
Alan;SOCIK;Podgranicze;ulica Miła;98;21;25.05.1929;29052537993
Adam;ROCZEW;Płaczków;ulica Szczera;6;96;22.04.1989;89042246525
Franciszek;KOUCHAKJI;Śródmieście;ulica Królewska;70;99;21.07.1941;41072173875
Igor;HOHOL;Karoliny;ulica Mokry Ług;39;80;20.10.1972;72102096150
Marcelina;KRYKLYVETS;Posadowice;ulica Maślaków;46;99;17.05.1983;83051758331
Błażej;CORBIN;Pomologia;ulica Lotnicza;14;80;30.10.1919;19103037375
Nikodem;MOSTOWSKI;Świerczewo;ulica Rosy Bailly;89;48;23.12.1972;72122377242
Maja;KRAŁZE;Zomrze;ulica św. Bonifacego;10;37;15.11.1913;13111553836
Tymon;MATYNIA;Dobrska-Kolonia;ulica Perłowa;63;21;26.07.1952;52072680026
Milena;JENDREK;Żelki;ulica Śnieżna;70;98;20.10.1907;07102011749
Jakub;RIABCHII;Za Szosą;ulica Emila Zegadłowicza;64;19;28.10.1990;90102880792
Emilia;CORNU;Kapkaz;ulica Obywatelska;94;33;05.04.1956;56040572657
Paweł;WYRA;Sarniak;ulica Biwakowa;36;69;09.01.1964;64010974467
Wiktoria;PIROZZI;Janaski;Trakt Napoleoński;45;95;15.07.1929;29071596585
Hubert;SMIENK;Sicina;ulica Wierzbiny;94;10;07.10.1985;85100710025
Marcelina;PERZANOWSKA-KUBIAK;Wrzosy;ulica Spartakusa;22;74;06.12.1975;75120666514
Leon;MORIS;Bania;ulica Jana Matejki;70;9;04.10.1967;67100478049
